plane,label,verdict,tau_s,ac1,skew,events,snr,peak_dff
OF-A,1,active,0.27752469468791907,0.37506133035730244,0.42432341434066023,4,3.1563712333813183,0.1086
OF-A,2,active,0.6564916129949195,0.5905725541062926,0.8794158983935151,11,3.800018943010345,0.0641
OF-A,3,active,0.1673459037779471,0.17973308573937077,0.3119173657086854,0,2.683581010002705,0.0331
OF-A,4,silent,0.14056628595460244,0.02346208286085534,0.11023407036395065,0,2.4107373995595474,0.0176
OF-A,5,silent,0.1409635341673852,0.026214056586467856,0.2671117146832146,0,2.80767123297283,0.0128
OF-A,6,silent,0.15607096054132263,0.12047502219512146,0.22073845120429403,0,2.6083235109601675,0.0122
OF-A,8,silent,0.1520895331889027,0.09745065799104757,0.22781014015653847,0,2.569775519993509,0.0228
OF-A,9,silent,0.14994182756785576,0.08452290909971426,0.1463223757255747,0,2.4796373737831443,0.027
OF-A,10,active,0.19399731893162755,0.29242162282422207,0.28216196881824507,0,2.6055778040483393,0.0186
OF-A,11,silent,0.1430592921786357,0.04047960803071583,0.22442823023365396,0,2.5185045187482085,0.0243
OF-A,12,active,0.20767670996658785,0.3390288774885863,0.31844315957410463,0,2.5964580915903115,0.053
OF-A,14,silent,0.15375257861435898,0.10721296941374774,0.4800276875748509,0,2.9279910694621747,0.0119
OF-B,1,active,0.190466542675522,0.27930487854792124,0.23649883019933135,0,2.5877909366838066,0.0372
OF-B,2,silent,0.14392508612808444,0.046251686909309746,0.411594793197873,1,2.747167608587352,0.0283
OF-B,3,silent,0.14214685909046448,0.03432049793845129,0.29166934259480787,0,2.7223394220904913,0.025
OF-B,4,silent,0.15341735115139632,0.10526216835387263,0.11387757748677428,0,2.3502889943395853,0.0659
OF-B,5,SUSPECT,0.1512887261062279,0.09267325041980023,0.37110255130113345,0,2.7180965779534882,0.007
OF-B,6,silent,0.16091124756072261,0.14693155272261305,0.34882740457352923,1,2.9277280722899324,0.0183
OF-B,7,silent,0.17221460636364735,0.20292296336213256,0.14112183421346797,0,2.8610237090570063,0.0452
OF-B,8,active,0.5137850401232718,0.48927516674172794,2.130342941569537,7,5.357317217093126,0.0453
OF-B,10,active,0.1628651392196921,0.1571658074664532,0.5408258969710052,0,2.896468132634874,0.0139
OF-B,11,silent,0.14473214142947533,0.05156997782016132,0.18293369225852646,0,2.464302239619858,0.0301
OF-B,12,active,0.3135039674016369,0.3972402516279614,0.762054522701659,3,3.5108904371450356,0.1084
OF-B,13,active,0.18333977293579784,0.2512900724810996,0.2457006219816103,1,2.5453388995806776,0.104
OF-B,14,silent,0.15522050199485318,0.11565607415285639,0.1992623591294956,1,2.6300520562767042,0.0265
OF-B,N3,silent,0.1417388856240037,0.03154093880609521,0.27119899237382744,0,2.7047307683095227,0.0206
OF-B,N4,SUSPECT,0.1527089785324012,0.10111173930111919,0.27393945107129786,0,2.6886853062730958,0.0244
OF-B,N5,silent,0.14968193386924472,0.0829333603746451,0.08586352380473455,0,2.511096255741944,0.0266
PA-A,1,active,0.812788404859844,0.48536521488910167,0.6165693091514932,7,3.3565259948009185,0.1131
PA-A,2,active,0.1795553752450402,0.23550989259574073,0.4560920583742523,4,2.98251608095884,0.0273
PA-A,3,active,0.6379545165074516,0.4667000768922839,-0.22170228920035592,3,2.7951044700882584,0.0564
PA-A,4,active,0.2589616046182805,0.37451115765431037,0.365207280174262,4,3.017329993244876,0.0381
PA-A,5,active,0.39723331832268494,0.4418927818844182,1.4537648114243136,15,4.096451122147806,0.0626
PA-A,6,active,0.18114169171068775,0.2422047800826973,0.7125629363237285,2,3.0889530918028325,0.0702
PA-A,7,silent,0.1737144658751503,0.20980496693494438,0.28573118912590156,0,2.6030686871505364,0.0424
