plane,cell,m_centre,m_corner,m_edge,contrast,p_contrast,null_sd,spatial_info,p_info,r_speed,p_speed,n_centre,n_corner,q_contrast,q_info,q_speed,preference
A,A1,-0.26107351901864734,0.02847143993299469,0.004951379093566799,-0.289544958951642,0.31284357821089454,0.23930921377584471,0.15790543698842993,0.39080459770114945,0.0008900226251436424,0.9430284857571214,83,623,0.5658170914542728,0.639498432601881,0.9570214892553722,none
A,A3,0.793778510768305,-0.10271176867558279,-0.0023856228071552077,0.8964902794438878,0.0004997501249375312,0.22221258239632571,0.15920116173915128,0.005997001499250375,-0.0028395491911002504,0.936031984007996,83,623,0.004497751124437781,0.07196401799100449,0.9570214892553722,centre
A,A4,0.2827715101927735,-0.03290425001845065,-0.003741420131618987,0.3156757602112242,0.03698150924537731,0.14898982403253117,0.07583415257055798,0.12193903048475763,0.05496805896886007,0.051974012993503245,83,623,0.14032983508245878,0.3658170914542729,0.2338830584707646,none
A,A5,0.36342478466523176,-0.056513404079816226,0.006352133015757251,0.41993818874504796,0.10094952523738131,0.2623932726228716,0.1507426050112198,0.5317341329335332,0.06098654121395178,0.047976011994003,83,623,0.22713643178410794,0.6546404217246216,0.2338830584707646,none
A,A6,0.5875859441457865,-0.0912747641095842,0.010194640650089038,0.6788607082553707,0.0004997501249375312,0.18168252591376105,0.10145275309877674,0.0009995002498750624,0.06035801515919794,0.028985507246376812,83,623,0.004497751124437781,0.017991004497751123,0.17391304347826086,centre
A,A7,0.4662162081066543,-0.05503109773703209,-0.005556135242671689,0.5212473058436864,0.0004997501249375312,0.18250812309051476,0.07999714700735158,0.2813593203398301,0.025273636259062163,0.3598200899550225,83,623,0.004497751124437781,0.5331018701175727,0.6665667166416792,centre
A,A8,0.2514270290468699,-0.04843563194566325,0.011721606160274563,0.29986266099253317,0.09145427286356822,0.17563682977000514,0.10205300049232781,0.038980509745127435,0.086559791566668,0.0004997501249375312,83,623,0.21949025487256374,0.15112443778110946,0.017991004497751123,none
A,A9,-0.12413984693713229,-0.023720534097476816,0.03158879098049122,-0.10041931283965547,0.4482758620689655,0.12097981374405109,0.05960709328894112,0.4122938530734633,-0.03655269248924686,0.1539230384807596,83,623,0.6724137931034483,0.6410128269198734,0.4827586206896552,none
A,A11,0.2737698321793148,-0.0415820279559851,0.004008447538659447,0.31535186013529987,0.038980509745127435,0.1421815021051131,0.06822701922483514,0.2688655672163918,0.013789944484196742,0.5477261369315343,83,623,0.14032983508245878,0.5331018701175727,0.7702815259037149,none
A,A12,-0.1260199543921283,0.0375131427011938,-0.016260745199366544,-0.1635330970933221,0.31434282858570717,0.17926040808534816,0.05931064455023035,0.48075962018990503,-0.0679411882744959,0.008995502248875561,83,623,0.5658170914542728,0.6410128269198734,0.06836581709145428,none
