test,level,n,up,down
pin,q<=0.05,6,"A1,A2,A4,A9,B12,B13",
pin,q<=0.10,7,"A1,A2,A4,A9,B8,B12,B13",
pin,q<=0.20,8,"A1,A2,A4,A9,B8,B12,B13",B10
pin,p<=0.05,8,"A1,A2,A4,A9,B8,B12,B13",B10
pin,p<=0.01,6,"A1,A2,A4,A9,B12,B13",
heat,q<=0.05,6,"A1,A2,B2,B12","B7,B10"
heat,q<=0.10,8,"A1,A2,B2,B12","B5,B6,B7,B10"
heat,q<=0.20,14,"A1,A2,A3,A12,B2,B4,B12,B18","B5,B6,B7,B10,B14,B15"
heat,p<=0.05,10,"A1,A2,B2,B12","B5,B6,B7,B10,B14,B15"
heat,p<=0.01,6,"A1,A2,B2,B12","B7,B10"
paw_withdrawal,q<=0.05,9,"A1,A2,A4,A9,B2,B4,B12","B7,B10"
paw_withdrawal,q<=0.10,12,"A1,A2,A4,A9,B2,B4,B8,B12,B13","B7,B10,B15"
paw_withdrawal,q<=0.20,14,"A1,A2,A4,A9,B2,B4,B8,B12,B13,B18","B3,B7,B10,B15"
paw_withdrawal,p<=0.05,12,"A1,A2,A4,A9,B2,B4,B8,B12,B13","B7,B10,B15"
paw_withdrawal,p<=0.01,8,"A1,A2,A4,A9,B2,B4,B12",B7
flinch,q<=0.05,9,"A1,A2,A4,B2,B4,B12,B13,B18",B7
flinch,q<=0.10,10,"A1,A2,A4,B2,B4,B8,B12,B13,B18",B7
flinch,q<=0.20,10,"A1,A2,A4,B2,B4,B8,B12,B13,B18",B7
flinch,p<=0.05,10,"A1,A2,A4,B2,B4,B8,B12,B13,B18",B7
flinch,p<=0.01,8,"A1,A2,A4,B2,B4,B12,B13",B7
escape,q<=0.05,1,B15,
escape,q<=0.10,1,B15,
escape,q<=0.20,1,B15,
escape,p<=0.05,6,"A12,B5,B7,B14,B15,B16",
escape,p<=0.01,1,B15,
pin_epoch,q<=0.05,2,"A1,A4",
pin_epoch,q<=0.10,2,"A1,A4",
pin_epoch,q<=0.20,2,"A1,A4",
pin_epoch,p<=0.05,4,"A1,A4,A9",B7
pin_epoch,p<=0.01,2,"A1,A4",
heat_epoch,q<=0.05,4,"A1,A4,B12",B7
