plane,uid,anat,usable,t1_pin,t1_pin_p,t1_heat,t1_heat_p,t1_any,t1_any_p,t2_pin_minus_heat,t2_p,t3_escape,t3_p,t1_pin_q,t1_heat_q,t1_any_q,t2_q,t3_q,final
A,A1,12.51,1,0.3096,0.098,0.5596,0.0005,0.4073,0.0005,-0.2181,0.0075,-0.1099,0.7861,0.3049,0.007,0.007,0.03,0.8611,stim-UP
A,A2,1.18,1,0.2154,0.0685,0.079,0.4753,0.1621,0.072,-0.0119,0.8371,-0.1989,0.5392,0.245,0.7394,0.2975,0.9015,0.7934,not modulated
A,A3,5.98,1,0.2043,0.1614,0.0688,0.6507,0.1514,0.1474,-0.0551,0.1524,0.2156,0.5667,0.3589,0.8723,0.4127,0.251,0.7934,not modulated
A,A4,3.3,1,0.4171,0.002,0.1765,0.1539,0.3231,0.0005,-0.0485,0.3558,-0.2903,0.4063,0.056,0.4309,0.007,0.4981,0.6708,stim-UP
A,A5,3.79,1,0.2005,0.1939,0.0191,0.8821,0.1296,0.2619,-0.0261,0.7001,0.6521,0.1039,0.3589,0.9995,0.4583,0.8168,0.2979,not modulated
A,A6,4.36,1,0.0197,0.8646,-0.0969,0.4418,-0.0259,0.8251,0.0535,0.0475,-0.1223,0.6447,0.939,0.7277,0.9241,0.105,0.8205,not modulated
A,A7,4.34,1,0.201,0.032,-0.0784,0.3843,0.0918,0.1834,0.0714,0.051,-0.2811,0.3253,0.2212,0.7277,0.4208,0.105,0.6072,not modulated
A,A8,3.35,1,0.1945,0.1334,-0.1968,0.1489,0.0416,0.6307,0.1023,0.0245,-0.0281,0.927,0.3396,0.4309,0.8084,0.0624,0.927,not modulated
A,A9,3.16,1,0.2283,0.0305,-0.0001,0.997,0.139,0.0625,0.0566,0.1459,0.11,0.7141,0.2212,0.9995,0.2975,0.251,0.8582,not modulated
A,A10,0.76,0,0.0565,0.4618,-0.0256,0.6872,0.0244,0.5682,-0.0138,0.5077,1.1215,0.0005,,,,,,not interpretable
A,A11,2.58,1,0.207,0.013,-0.1645,0.025,0.0618,0.2024,0.1275,0.0005,0.3042,0.2514,0.182,0.1167,0.4208,0.014,0.5866,not modulated
