plane,uid,anat,usable,source,matched,pin_resp,pin_p,pin_nullsd,pin_n,pin_prewin_resp,pin_prewin_p,heat_resp,heat_p,heat_nullsd,heat_n,heat_prewin_resp,heat_prewin_p,paw_withdrawal_resp,paw_withdrawal_p,paw_withdrawal_nullsd,paw_withdrawal_n,paw_withdrawal_prewin_resp,paw_withdrawal_prewin_p,flinch_resp,flinch_p,flinch_nullsd,flinch_n,flinch_prewin_resp,flinch_prewin_p,escape_resp,escape_p,escape_nullsd,escape_n,escape_prewin_resp,escape_prewin_p,pin_epoch_resp,pin_epoch_p,pin_epoch_frac,heat_epoch_resp,heat_epoch_p,heat_epoch_frac,escape_in_resp,escape_in_p,escape_in_frac,pin_q,pin_dir,heat_q,heat_dir,paw_withdrawal_q,paw_withdrawal_dir,flinch_q,flinch_dir,escape_q,escape_dir,pin_epoch_q,pin_epoch_dir,heat_epoch_q,heat_epoch_dir,escape_in_q,escape_in_dir
A,A1,12.51,1,pain,True,0.4362,0.001,0.1321,53,-0.067,0.4563,0.8009,0.0005,0.173,34,0.2952,0.01,0.645,0.0005,0.1168,76,0.2022,0.005,0.5588,0.0005,0.136,50,0.0055,0.961,-0.0067,0.984,0.3843,5,-0.4278,0.2049,0.3037,0.0015,0.3527,0.5219,0.0005,0.2087,-0.1099,0.7981,0.006,0.007,UP,0.0035,UP,0.0035,UP,0.0028,UP,0.984,,0.021,UP,0.0035,UP,0.9034,
A,A2,1.18,1,pain,False,0.3727,0.0005,0.0963,53,0.0523,0.5322,0.3733,0.0025,0.1156,34,0.2147,0.0315,0.367,0.0005,0.0882,76,0.1365,0.05,0.3456,0.0005,0.1012,50,0.0057,0.954,-0.1886,0.4918,0.3049,5,-0.2942,0.3228,0.0949,0.1679,0.3527,0.1068,0.2024,0.2087,-0.1989,0.5527,0.006,0.0047,UP,0.014,UP,0.0035,UP,0.0028,UP,0.7249,,0.5049,,0.4398,,0.7773,
A,A3,5.98,1,pain,True,0.1318,0.2814,0.1196,53,-0.1916,0.039,0.2619,0.0865,0.1547,34,0.1594,0.1499,0.1539,0.1479,0.1061,76,0.0103,0.9025,0.1433,0.2539,0.1201,50,-0.0634,0.4953,0.3679,0.2174,0.3233,5,0.154,0.6327,0.1128,0.1574,0.3527,0.1679,0.1044,0.2087,0.2156,0.5552,0.006,0.3752,,0.173,,0.2588,,0.4182,,0.4348,,0.5049,,0.3654,,0.7773,
A,A4,3.3,1,pain,True,0.3905,0.0005,0.1089,53,-0.0098,0.9005,0.213,0.1134,0.1325,34,0.0871,0.3693,0.2599,0.0045,0.0955,76,0.0434,0.5562,0.3697,0.0005,0.1037,50,0.1491,0.1159,0.1242,0.6532,0.324,5,0.047,0.8646,0.2434,0.0005,0.3527,0.2919,0.0005,0.2087,-0.2903,0.4148,0.006,0.0047,UP,0.2063,,0.021,UP,0.0028,UP,0.7621,,0.014,UP,0.0035,UP,0.6452,
A,A5,3.79,1,pain,True,0.2034,0.1254,0.132,53,0.0941,0.3358,-0.0976,0.5317,0.1639,34,-0.0893,0.4518,0.0444,0.7676,0.1231,76,0.0523,0.5182,0.0622,0.6502,0.1351,50,-0.0095,0.928,0.4307,0.1724,0.3448,5,0.0515,0.8966,-0.0068,0.9265,0.3527,0.0192,0.8466,0.2087,0.6521,0.097,0.006,0.2628,,0.6203,,0.8266,,0.7282,,0.3713,,0.9265,,0.8681,,0.2993,
A,A6,4.36,1,pain,False,-0.1239,0.3253,0.123,53,-0.141,0.061,-0.1833,0.2359,0.1592,34,-0.0485,0.5457,-0.1633,0.1669,0.1176,76,-0.0753,0.2224,-0.1087,0.3993,0.1261,50,-0.0276,0.7426,-0.0808,0.7186,0.3066,5,-0.0131,0.9535,-0.0292,0.7571,0.3527,-0.0827,0.4658,0.2087,-0.1223,0.6597,0.006,0.414,,0.3303,,0.2749,,0.559,,0.7776,,0.848,,0.6736,,0.8396,
A,A7,4.34,1,pain,True,0.0309,0.6757,0.0786,53,-0.0626,0.3638,-0.0348,0.7506,0.1027,34,0.0374,0.6727,-0.0209,0.7591,0.0704,76,0.0165,0.7781,0.0194,0.7981,0.0817,50,0.0079,0.921,0.1358,0.5957,0.2554,5,-0.0409,0.8671,0.1012,0.0595,0.3527,0.0298,0.6597,0.2087,-0.2811,0.3713,0.006,0.7556,,0.7784,,0.8266,,0.8277,,0.7252,,0.3332,,0.7696,,0.6116,
A,A8,3.35,1,pain,False,0.1337,0.1529,0.0953,53,-0.1462,0.035,-0.0409,0.7496,0.1236,34,-0.0699,0.3818,0.0873,0.3053,0.0874,76,-0.0754,0.1919,0.1034,0.3028,0.0981,50,-0.1298,0.1169,0.1419,0.5437,0.2484,5,0.3351,0.1849,0.0708,0.3138,0.3527,-0.0315,0.7551,0.2087,-0.0281,0.9235,0.006,0.2711,,0.7784,,0.4274,,0.471,,0.7249,,0.5998,,0.8457,,0.9425,
A,A9,3.16,1,pain,False,0.2424,0.0025,0.0867,53,-0.0093,0.8976,0.1245,0.2864,0.1131,34,0.0579,0.4843,0.2187,0.009,0.0835,76,0.0724,0.1974,0.1187,0.1694,0.0889,50,-0.0788,0.3033,0.1696,0.5122,0.2467,5,-0.4477,0.077,0.1103,0.045,0.3527,0.0537,0.5052,0.2087,0.11,0.7201,0.006,0.014,UP,0.3819,,0.0315,UP,0.3162,,0.7249,,0.315,,0.6736,,0.8766,
A,A10,0.76,0,pain,True,0.0799,0.1869,0.0608,53,-0.094,0.1359,-0.0277,0.7416,0.0764,34,-0.0197,0.7651,0.0134,0.8426,0.0545,76,-0.075,0.1394,0.1165,0.0475,0.0616,50,-0.0147,0.8391,0.8303,0.0005,0.1914,5,0.429,0.066,0.0228,0.5077,0.3527,0.0367,0.4828,0.2087,1.1215,0.001,0.006,,,,,,,,,,,,,,,,
