window_s,stat,plane,uid,effect,p,q,dir,stimulus,frac_in
2.0,mean z,A,A1,0.3464,0.0052,0.0241,UP,pin,0.148
2.0,mean z,A,A2,0.3845,0.0003,0.0048,UP,pin,0.148
2.0,mean z,A,A3,0.0288,0.8051,0.9393,,pin,0.148
2.0,mean z,A,A4,0.3049,0.0024,0.0168,UP,pin,0.148
2.0,mean z,A,A5,0.1247,0.2812,0.3937,,pin,0.148
2.0,mean z,A,A6,-0.0964,0.3063,0.4084,,pin,0.148
2.0,mean z,A,A7,0.0016,0.9873,0.9873,,pin,0.148
2.0,mean z,A,A8,0.093,0.2396,0.3531,,pin,0.148
2.0,mean z,A,A9,0.2277,0.0024,0.0168,UP,pin,0.148
2.0,mean z,A,A11,0.0847,0.1585,0.2773,,pin,0.148
2.0,mean z,A,A12,0.1101,0.0811,0.1877,,pin,0.148
2.0,mean z,B,B1,-0.0082,0.9302,0.9873,,pin,0.148
2.0,mean z,B,B2,0.3191,0.0904,0.1877,,pin,0.148
2.0,mean z,B,B3,-0.1949,0.1313,0.2451,,pin,0.148
2.0,mean z,B,B4,0.0848,0.1808,0.2978,,pin,0.148
2.0,mean z,B,B5,0.0479,0.4802,0.6093,,pin,0.148
2.0,mean z,B,B6,0.0055,0.9385,0.9873,,pin,0.148
2.0,mean z,B,B7,-0.1568,0.067,0.1877,,pin,0.148
2.0,mean z,B,B8,0.13,0.0254,0.089,,pin,0.148
2.0,mean z,B,B9,0.1095,0.0901,0.1877,,pin,0.148
2.0,mean z,B,B10,-0.188,0.0213,0.0853,,pin,0.148
2.0,mean z,B,B11,0.1078,0.0938,0.1877,,pin,0.148
2.0,mean z,B,B12,0.3014,0.0003,0.0048,UP,pin,0.148
2.0,mean z,B,B13,0.2239,0.0041,0.0231,UP,pin,0.148
2.0,mean z,B,B14,-0.0425,0.5005,0.6093,,pin,0.148
2.0,mean z,B,B15,-0.0979,0.2001,0.3112,,pin,0.148
2.0,mean z,B,B16,-0.0028,0.9612,0.9873,,pin,0.148
2.0,mean z,B,B18,0.1505,0.032,0.0995,,pin,0.148
2.0,transient rate,A,A1,0.0302,0.0076,0.0529,,pin,0.148
2.0,transient rate,A,A2,0.0415,0.0014,0.0385,UP,pin,0.148
2.0,transient rate,A,A3,-0.0007,0.9312,0.9639,,pin,0.148
2.0,transient rate,A,A4,0.0315,0.0058,0.0529,,pin,0.148
2.0,transient rate,A,A5,-0.0018,0.8931,0.9639,,pin,0.148
2.0,transient rate,A,A6,-0.0043,0.5858,0.8683,,pin,0.148
2.0,transient rate,A,A7,-0.0029,0.7422,0.9219,,pin,0.148
2.0,transient rate,A,A8,0.0015,0.8817,0.9639,,pin,0.148
2.0,transient rate,A,A9,0.0226,0.0155,0.0722,,pin,0.148
2.0,transient rate,A,A11,0.0079,0.3757,0.6189,,pin,0.148
2.0,transient rate,A,A12,0.0033,0.7573,0.9219,,pin,0.148
2.0,transient rate,B,B1,0.0172,0.1231,0.3024,,pin,0.148
2.0,transient rate,B,B2,0.0221,0.0588,0.1904,,pin,0.148
2.0,transient rate,B,B3,-0.0173,0.0598,0.1904,,pin,0.148
2.0,transient rate,B,B4,0.0051,0.5892,0.8683,,pin,0.148
2.0,transient rate,B,B5,-0.001,0.9268,0.9639,,pin,0.148
2.0,transient rate,B,B6,0.0181,0.0612,0.1904,,pin,0.148
2.0,transient rate,B,B7,-0.0211,0.1296,0.3024,,pin,0.148
2.0,transient rate,B,B8,0.0232,0.0103,0.0578,,pin,0.148
2.0,transient rate,B,B9,-0.0042,0.6291,0.8807,,pin,0.148
2.0,transient rate,B,B10,-0.0101,0.3462,0.6058,,pin,0.148
2.0,transient rate,B,B11,0.0164,0.1,0.2801,,pin,0.148
2.0,transient rate,B,B12,0.0308,0.0045,0.0529,,pin,0.148
2.0,transient rate,B,B13,0.0156,0.1763,0.3798,,pin,0.148
2.0,transient rate,B,B14,-0.0037,0.714,0.9219,,pin,0.148
