plane,uid,loo_min,loo_max,half1,half2,corner_vs_rest,corner_vs_rest_p,stable,usable,n_fire,ratio,contrast,q,faster,rate_centre,pct_fire_centre,rate_corner,pct_fire_corner,rate_edge,pct_fire_edge,corner_vs_rest_q
A,A1,-0.411,-0.245,-0.204,-1.086,0.057,0.6272,True,True,147,1.0905923344947734,-0.289544958951642,0.6039085720297745,False,0.39339103068450265,4.8,0.3607131814902628,33.3,0.5294884327142422,61.9,0.9259
A,A2,-0.078,0.099,0.049,0.196,0.061,0.1624,True,False,127,1.2723577235772356,,,False,0.5619871866921466,7.9,0.44168960998807694,47.2,0.33165758972210774,44.9,0.6153
A,A3,0.65,1.067,0.619,1.66,-0.182,0.017,True,True,123,3.651113467656416,0.899219840920649,0.0069965017491254,True,1.2363718107227226,17.9,0.33862870099085896,37.4,0.32002048131080574,44.7,0.4611
A,A4,-0.151,0.637,0.677,-0.807,0.09,0.2624,False,True,128,1.7617260787992497,0.1674927981009795,0.6039085720297745,False,0.84298078003822,11.7,0.4784970774870833,50.8,0.27929060187124866,37.5,0.6153
A,A5,0.339,0.607,0.535,0.5,-0.105,0.3848,True,True,200,1.839553335292389,0.4199381887450479,0.3533233383308345,False,1.1239743733842933,10.0,0.6110039604835065,41.5,0.5643997579481483,48.5,0.7017
A,A6,0.073,0.172,0.181,-0.058,0.029,0.5017,False,True,114,1.7867151011935651,0.1168027762032469,0.6039085720297745,False,0.6181859053613613,9.6,0.34599019449066026,41.2,0.32583903551645677,49.1,0.8186
A,A7,0.398,0.656,0.649,0.575,-0.099,0.1489,True,True,106,3.3277048155096933,0.5212473058436864,0.0069965017491254,True,0.9553782173766493,16.0,0.28709824649225,36.8,0.29092771028255066,47.2,0.6153
A,A8,0.107,0.483,0.47,0.248,0.003,0.9405,True,True,100,1.9529211571185479,0.2331329536073731,0.1259370314842579,False,0.6181859053613613,11.0,0.31654422049145514,43.0,0.2676534934599466,46.0,0.999
A,A9,-0.357,-0.005,-0.371,0.231,0.035,0.4503,False,True,124,0.8482384823848238,-0.1558243132459864,0.6039085720297745,False,0.337192312015288,4.8,0.39752064898926925,43.5,0.3723874691616649,51.6,0.7755
A,A10,0.21,0.247,0.22,0.443,0.047,0.2754,True,False,130,1.4233154195948738,,,False,0.6181859053613613,8.5,0.43432811648827563,45.4,0.3491132523390608,46.2,0.6153
A,A11,0.28,0.363,0.285,0.351,-0.103,0.0375,True,True,113,2.181184668989547,0.3119941035349342,0.1259370314842579,False,0.5619871866921466,8.8,0.2576522724930449,31.0,0.39566168598426893,60.2,0.4611
A,A12,-0.094,0.429,0.433,-0.181,-0.061,0.3263,False,True,131,1.1846089150546677,0.0994292641955472,0.6039085720297745,False,0.505788468022932,6.9,0.4269666229884744,44.3,0.3723874691616649,48.9,0.6574
A,A13,-0.268,0.043,-0.272,0.141,0.006,0.9415,False,True,117,1.1370005189413597,-0.0807424145279014,0.8935532233883059,False,0.39339103068450265,6.0,0.34599019449066026,40.2,0.36656891495601385,53.8,0.999
B,B1,-0.289,-0.145,-0.135,-0.437,0.162,0.046,True,True,114,0.1339323919554985,-0.1899624212339623,0.6039085720297745,False,0.056198718669214665,0.9,0.41960512948867307,50.0,0.32583903551645677,49.1,0.4611
B,B2,-0.15,-0.102,-0.118,0.099,0.037,0.7571,False,True,160,0.4626755358462675,-0.0948904854972697,0.9733533233383308,False,0.22479487467685866,2.5,0.4858585709868846,41.2,0.5236698785085913,56.2,0.9388
B,B3,0.169,0.279,0.278,0.198,0.024,0.7006,True,True,122,1.3632404181184667,0.1667057610951012,0.5126527645268275,False,0.5619871866921466,8.2,0.4122436359888718,45.9,0.32583903551645677,45.9,0.9388
B,B4,-0.135,-0.058,-0.057,-0.167,0.065,0.2779,True,True,106,0.7447947650208209,-0.113996734924102,0.7276361819090454,False,0.22479487467685866,3.8,0.3018212334918526,38.7,0.3549318065447118,57.5,0.6153
B,B5,0.186,0.313,0.309,0.205,-0.074,0.2079,True,True,115,1.526829268292683,0.2399533424891423,0.5126527645268275,False,0.6181859053613613,9.6,0.4048821424890705,47.8,0.28510915607689963,42.6,0.6153
B,B6,0.133,0.345,0.296,0.128,-0.001,0.9915,True,True,134,1.78130081300813,0.2606112644493211,0.2158920539730135,False,0.7867820613690053,10.4,0.44168960998807694,44.8,0.3491132523390608,44.8,0.999
B,B7,-0.197,0.212,-0.202,0.335,-0.036,0.6592,False,True,143,1.0652297220646625,0.0304739244344477,0.9740129935032484,False,0.337192312015288,4.2,0.31654422049145514,30.1,0.5469440953311953,65.7,0.9289
B,B8,-0.069,0.243,0.243,-0.038,-0.058,0.3393,False,True,124,1.6358885017421603,0.1077777515829487,0.6039085720297745,False,0.505788468022932,7.3,0.30918272699165383,33.9,0.42475445701252396,58.9,0.6574
B,B9,0.08,0.315,0.065,0.602,-0.018,0.8241,True,True,135,1.9085365853658536,0.201862270901883,0.5126527645268275,False,0.84298078003822,11.1,0.44168960998807694,44.4,0.3491132523390608,44.4,0.9826
